player_id,player_name,nationality,position,team_id
28453,Michal Skoras,Poland,Midfielder,789
28511,Angel Israel Mena Delgado,Ecuador,Midfielder,3565
28522,Rodolfo Cota Robles,Mexico,,794
28559,Enner Remberto Valencia Lastra,Ecuador,Forward,3565
28561,Nahuel Ignacio Guzman Palomeque,Argentina,,779
28565,Ianis Hagi,Romania,Midfielder,905
28567,Carlos Eccehomo Cuesta Figueroa,Colombia,Defender,769
28573,Felix Agu,Germany,Defender,176
28575,Nils-Jonathan Korber,Germany,,173
28589,Ante Palaversa,Croatia,Forward,216
28603,Philipp Hofmann,Germany,Forward,868
28616,Daniel-Kofi Kyereh,Ghana,Midfielder,4885
28637,Thiago Ezequiel Almada,Argentina,Forward,779
28648,Gabriel Arias Arroyo,Chile,Goalkeeper,3562
28657,Adrian Andres Cubas,Paraguay,Midfielder,3567
28658,Augusto Jorge Mateo Solari,Argentina,Midfielder,209
28669,Luis Alfonso Abram Ugarelli,Peru,Defender,784
28675,Alvaro Martin Barreal,Argentina,Defender,489
28694,Federico Gino Acevedo Fagundez,Uruguay,,1683
28699,Leonel Ezequiel Galeano,Argentina,,360
28723,Jorge Andres Carrascal Guardo,Colombia,Midfielder,769
28728,Lucas Martinez Quarta,Argentina,Defender,779
28729,Diego Nicolas De La Cruz Arcosa,Uruguay,Midfielder,783
28768,Alexander Meyer,Germany,,180
28782,Ritchie De Laet,Belgium,Defender,22
28805,Jamie Leweling,Germany,Midfielder,174
28825,Luis Gerardo Chavez Magallon,Mexico,Midfielder,794
28835,Ivica Ivusic,Croatia,,785
28914,Lovro Majer,Croatia,Forward,179
28943,Victor Gustavo Velazquez Ramos,Paraguay,Defender,3567
28949,Boris Cespedes,Bolivia,Midfielder,3564
28966,Gael Ondoua,Cameroon,Midfielder,2722
28968,Sebastien Wuthrich,Switzerland,Forward,139
28970,Filip Holender,Hungary,,916
28974,Fabio Daprela,Switzerland,Defender,1683
28991,Akos Kecskes,Hungary,,916
29001,Albian Afrim Ajeti,Switzerland,,172
29003,Jonas Omlin,Switzerland,Goalkeeper,185
29005,Raoul Petretta,Italy,Defender,575
29006,Noah Okafor,Switzerland,Forward,773
29009,Omar Federico Alderete Fernandez,Paraguay,Defender,3567
29012,Eray Ervin Comert,Switzerland,Defender,773
29025,Cameron Humphreys,England,,36
29057,Renato Civelli,Argentina,Defender,143
29133,Brayan Andres Perea Vargas,Colombia,Midfielder,133
29138,Andres Felipe Reyes Ambuila,Colombia,Defender,387
29161,Josip Posavec,Croatia,Goalkeeper,2256
29163,Josip Juranovic,Croatia,Defender,190
29164,Hamza Barry,Gambia,Midfielder,4934
29168,Ardian Ismajli,Albania,,906
29198,Jeremias Ledesma,Argentina,Goalkeeper,552
29201,Nahuel Molina Lucero,Argentina,Defender,779
29217,Edward Chilufya,Zambia,Forward,4963
29227,Leonidas Stergiou,Switzerland,Defender,174
29228,Dejan Stojanovic,Austria,,240
29245,Marvin Schulz,Germany,Midfielder,185
29256,Matheus Fernandes Siqueira,Brazil,,217
29284,Lilian Brassier,France,Defender,153
29305,Jordan Lotomba,Switzerland,Defender,136
29310,Shon Zalman Weissman,Israel,Forward,901
29312,Pablo Estifer Armero,Colombia,Defender,230
29319,Simon Sluga,Croatia,,785
29321,Dylan Chambost,France,,133
29342,Ivo Grbic,Croatia,Goalkeeper,785
29345,Mile Skoric,Croatia,,785
29353,Cedric Zesiger,Switzerland,Defender,179
29366,Daniel Schmidt,Japan,,778
29367,Percy Tau,South Africa,Forward,4976
29377,Brennan Johnson,Wales,Defender,907
29382,Shaun MacDonald,Wales,Midfielder,28
29384,James Weir,England,Midfielder,39
29396,Rhys Norrington-Davies,Wales,,907
29399,Conor Gallagher,England,Midfielder,768
29430,Anders Rosenkrantz Lindegaard,Denmark,,27
29480,Jakub Moder,Poland,Midfielder,789
29482,Ricardo Martins Guimaraes,Mozambique,Midfielder,4978
29484,Jan Kuchta,Czech Republic,Forward,912
29531,Taulant Sulejmanov,Albania,Midfielder,906
29560,Julian Alvarez,Argentina,Forward,779
29564,Freddie Woodman,England,,37
29571,Lyndon Dykes,Scotland,Forward,942
29594,Gabriel Gudmundsson,Sweden,Defender,143
29595,Ko Itakura,Japan,Defender,185
29664,Jodel Dossou,Benin,Forward,152
29682,Rasmus Carstensen,Denmark,Defender,186
29712,Ibrahima Kone,Mali,Forward,165
29714,Yacouba Sylla,Mali,Midfielder,134
29758,Sam Adekugbe,Canada,Defender,1833
29759,Bard Finne,Norway,,186
29760,Erhan Masovic,Serbia,Defender,868
29786,Elbasan Rashani,Kosovo,Midfielder,152
29816,Ibou Touray,Gambia,Defender,4934
29855,Samuel Kari Fridjonsson,Iceland,,793
29875,Axel Ngando,France,Midfielder,2736
29906,Aster Vranckx,Belgium,Midfielder,179
29925,Jens Petter Hauge,Norway,Forward,184
29946,Robert Taylor,Finland,Midfielder,1975
29955,Onni Johannes Simonpoika Valakari,Finland,,1835
29962,Nathanael Mbuku,France,Midfielder,156
29965,Raoul Bellanova,Italy,,914
29966,Ui-Jo Hwang,Korea (South),Forward,791
29969,Joris Chotard,France,Midfielder,139
29976,Gabriel Teodoro Martinelli Silva,Brazil,Midfielder,781
29989,Yusuf Yazc,Turkey,Midfielder,143
29990,Kader Bamba,France,,144
29991,Domagoj Bradaric,Croatia,Midfielder,143
29992,Tiago Emanuel Embalo Djalo,Portugal,Defender,143
30016,Martin Hongla Yma II,Cameroon,Midfielder,2722
30040,Nuno Albertino Varela Tavares,Portugal,Defender,147
30047,Hrvoje Smolcic,Croatia,Defender,184
30054,Jose Luis Garcia Vaya,Spain,,221
30059,Oleksandr Svatok,Ukraine,Defender,911
30081,Nehuen Perez,Argentina,Defender,1049
30083,Pedro Antonio Pereira Goncalves,Portugal,,780
30104,Manconi Soriano Mane,Guinea-Bissau,Defender,4894
30111,Felix Eduardo Torres Caicedo,Ecuador,Defender,3565
30123,Mohammed Ali Sagaf,"Tanzania, United Republic of",,4953
30179,Ivan Ilic,Serbia,Midfielder,786
30182,Dorian Leveque,France,Defender,142
30193,Gedeon Kalulu Kyatengwa,"Congo, (Kinshasa)",Defender,4881
30225,Oihan Sancet Tirapu,Spain,Midfielder,215
30234,Akim Zedadka,Algeria,Defender,167
30255,Mustapha Yatabare,Mali,Midfielder,139
30262,Vlatko Stojanovski,"Macedonia, Republic of",Midfielder,2358
30277,Jon Moncayola Tollar,Spain,Midfielder,422
30287,Ceyhun Gulselam,Turkey,Defender,178
30289,Papiss Demba Cisse,Senegal,Forward,37
30291,Atila Turan,Turkey,Defender,156
30294,Gabriel Matias Fernandez Leites,Uruguay,Midfielder,209
30310,Fehmi Mert Gunok,Turkey,Goalkeeper,909
30311,Irfan Can Kahveci,Turkey,Midfielder,909
30312,Uilson de Souza Paula Junior,Brazil,Defender,181
30315,Moryke Fofana,Cote d'Ivoire,Midfielder,165
30322,Darko Churlinov,"Macedonia, Republic of",Midfielder,2358
30328,Ondrej Celustka,Czech Republic,Defender,912
30338,Andre Biyogo Poko,Gabon,Midfielder,146
30357,Ugurcan Cakr,Turkey,Goalkeeper,909
30360,Mohamed Simakan,France,Defender,182
30370,Jens Jonsson,Denmark,Midfielder,552
30394,Stefan Schimmer,Germany,,201
30397,Lubomir Satka,Slovakia,Defender,908
30401,Ruben Vargas,Switzerland,Midfielder,172
30415,Facundo Axel Medina,Argentina,Defender,168
30419,Alberto Rodriguez Baro,Spain,Defender,206
30420,Victor Campuzano Bonilla,Spain,Midfielder,214
30421,Matias Ezequiel Vargas Martin,Argentina,Midfielder,214
30423,Iban Salvador Edu,Equatorial Guinea,Forward,4992
30427,Pablo Claveria Herraiz,Spain,,360
30429,Hugo Fraile Martin,Spain,Forward,1041
30433,Oscar Francisco Garcia Quintela,Spain,,219
30438,Ferdi Erenay Kadoglu,Turkey,Defender,909
30439,Tolga Cigerci,Turkey,Midfielder,173
30442,Altay Bayndr,Turkey,Goalkeeper,909
30447,Jean-Armel Kana-Biyik,Cameroon,Defender,141
30454,Francisco Jose Sanchez Rodriguez,Spain,Midfielder,213
30468,Inigo Vicente Elorduy,Spain,,215
30476,Borja Lopez Menendez,Spain,,217
30483,Jaime Seoane Valenciano,Spain,Midfielder,902
30486,Pedro Gonzalez Lopez,Spain,Midfielder,772
30492,Francisco Javier Hidalgo Gomez,Spain,Midfielder,221
30500,Kevin Nahin Alvarez Campos,Mexico,Defender,794
30512,Aleksandar Trajkovski,"Macedonia, Republic of",Midfielder,1043
30518,Daniel Martin Fernandez,Spain,,218
30519,Mohamed Salisu,Ghana,Defender,4885
30520,Makenzy Doniak,United States of America,Forward,9101
30521,Abby Elinsky,United States of America,,764
30524,Marisa Marie DiGrande,United States of America,Midfielder,762
30533,Noah Fadiga,Belgium,Defender,153
30555,Amandine Pierre-Louis,Canada,,763
30556,Bethany Balcer,United States of America,Forward,760
30557,Casey Murphy,United States of America,Goalkeeper,766
30558,Paige Monaghan,United States of America,Forward,5105
30593,Daniel Gomez Alcon,Spain,Forward,221
30594,Adrian Ortola Vano,Spain,,206
30606,Edmond Faycal Tapsoba,Burkina Faso,Defender,904
30626,Valdomiro Tualungo Paulo Lameiras,Angola,Midfielder,4901
30628,Daizen Maeda,Japan,Forward,778
30644,Darko Velkovski,"Macedonia, Republic of",Defender,2358
30648,Dorian Bailey,United States of America,Defender,759
30650,Samantha Staab,United States of America,Defender,759
30651,Paige Nielsen,United States of America,Defender,9100
30652,Jordan Elisabeth Baggett,United States of America,Midfielder,5105
30654,Jojo Wollacott,Ghana,,4885
30681,Ali Abdi,Tunisia,Defender,777
30682,Alexis Flips,France,Midfielder,156
30693,Majeed Ashimeru,Ghana,Midfielder,4885
30702,Brendan Joel Zibusiso Galloway,Zimbabwe,Defender,29
30704,Gaston Brugman,Uruguay,Midfielder,2256
30706,Charles Boli,France,,168
30707,Gaetano Castrovilli,Italy,Midfielder,914
30714,Jude Bellingham,England,Midfielder,768
30715,Gaizka Larrazabal Goikoetxea,Spain,,215
30735,Mato Jajalo,Bosnia and Herzegovina,Midfielder,2256
30736,Paul Brian Rodriguez Bravo,Uruguay,Forward,783
30739,Pawel Dawidowicz,Poland,Defender,789
30740,Marash Kumbulla,Albania,,906
30742,Fabian Nurnberger,Germany,Defender,872
30745,Daniele Gastaldello,Italy,Defender,240
30747,Jhon Carlos Chancellor Cedeno,Venezuela (Bolivarian Republic),,3563
30750,Stefano Sabelli,Italy,Midfielder,1683
30756,Anssumane Fati,Spain,Midfielder,772
30760,Borja Sainz Eguskiza,Spain,Forward,206
30767,Gabriel Vasconelos Ferreira,Brazil,Goalkeeper,227
30769,Andrea Rispoli,Italy,Defender,2256
30770,Filippo Falco,Italy,Forward,240
30772,Panagiotis Tachtsidis,Greece,Midfielder,233
30795,Angel Rodrigo Romero Villamayor,Paraguay,Midfielder,3567
30798,Javier Aviles Cortes,Spain,,205
30818,Simone Charley,United States of America,Forward,9100
30829,Lorenzo Lollo,Italy,Midfielder,1683
30830,Luca Lezzerini,Italy,Goalkeeper,239
30839,Vasile Mogos,Romania,Defender,905
30847,Jiloan Hamad,Iraq,Midfielder,175
30850,Maelle Antonia Garbino,France,Midfielder,1076
30853,Ghoutia Karchouni,France,Midfielder,3144
30854,Vanessa Brigitte Gilles,Canada,Defender,1206
30856,Julie Thibaud,France,Defender,2652
30857,Ines Jaurena,France,Midfielder,759
30881,Emelyne Laurent,France,Forward,3150
30904,Raul Jose Asencio Moraes,Spain,,233
30911,Robert Gucher,Austria,Midfielder,291
30913,Marius Mihai Marin,Romania,Midfielder,905
30926,Davide Frattesi,Italy,Midfielder,914
30927,Massimiliano Carlini,Italy,Forward,291
30928,Roberto Vitiello,Italy,Defender,2256
30931,Giacomo Calo,Italy,,234
30938,Luca Germoni,Italy,,236
30940,Jure Balkovec,Slovenia,Defender,944
30941,Karim Laribi,Tunisia,Midfielder,232
30944,Victor Alejandro Davila Zavala,Chile,Forward,3562
30955,Phallon Tullis-Joyce,United States of America,Goalkeeper,1475
30958,Melissa Herrera Monge,Costa Rica,Midfielder,1832
30961,Naomie Feller,France,Midfielder,3282
30964,Benedicte Simon,France,Defender,11864
30965,Giorgia Spinelli,Italy,Forward,1086
30966,Morgane Nicoli,France,Defender,11864
30968,Lisa Schmitz,Germany,Goalkeeper,929
30969,Elisa De Almeida,France,Defender,861
30970,Nerilia Mondesir,Haiti,Forward,2355
30971,Sandie Toletti,France,Midfielder,3282
30976,Jhon Jader Duran Palacio,Colombia,Forward,769
30991,Daniel Larsson,Sweden,,901
31012,Paulo Cesar Diaz Huincales,Chile,Defender,3562
31015,Abdu Conte,Portugal,Defender,133
31016,Manuel Luis da Silva Cafumana,Angola,Midfielder,4901
31029,Salis Abdul Samed,Ghana,Midfielder,4885
31030,Marcin Bulka,Poland,,136
31031,Adil Aouchiche,France,Midfielder,165
31039,Yroundu Musavu-King,Gabon,Defender,7284
31042,Cengiz Umut Meras,Turkey,Defender,909
31053,Santiago Tomas Gimenez,Mexico,Forward,794
31064,Ales Mateju,Czech Republic,,912
31067,Billy Gilmour,Scotland,Midfielder,942
31089,Jan Mlakar,Slovenia,Midfielder,944
31090,Takefusa Kubo,Japan,Forward,778
31093,Mateo Retegui,Italy,Forward,914
31100,Christian Gross,Germany,Defender,176
31128,Solene Durand,France,Goalkeeper,3154
31129,Ella Palis,France,Midfielder,1076
31141,Justine Lerond,France,,861
31146,Christy Grimshaw,Scotland,Midfielder,3150
31152,Gonzalo Jordy Plata Jimenez,Ecuador,Midfielder,3565
31156,Laura Bourgouin,France,Forward,6755
31157,Hawa Cissoko,France,Defender,972
31167,Paulina Dudek,Poland,Defender,29167
31172,Luca Bittante,Italy,Defender,290
