match_id,competition_id,match_date,home_team_id,away_team_id,home_goals,away_goals,season
7430,49,2018-04-15,759,766,2,4,2018
7443,49,2018-05-05,765,760,2,3,2018
7444,49,2018-05-06,766,761,1,1,2018
7445,49,2018-05-06,767,759,2,0,2018
7451,49,2018-05-13,766,759,1,0,2018
7456,49,2018-05-20,763,766,1,2,2018
7457,49,2018-05-24,764,766,3,4,2018
7471,49,2018-06-30,764,766,0,3,2018
7472,49,2018-07-01,760,765,1,0,2018
7473,49,2018-07-01,767,763,3,1,2018
7474,49,2018-07-02,761,759,2,0,2018
7475,49,2018-07-05,766,761,4,1,2018
7476,49,2018-07-08,763,761,1,3,2018
7477,49,2018-07-07,765,767,4,0,2018
7478,49,2018-07-08,760,762,3,1,2018
7479,49,2018-07-08,764,759,2,1,2018
7480,49,2018-07-12,760,767,1,0,2018
7482,49,2018-07-12,766,759,2,0,2018
7483,49,2018-07-15,767,764,1,2,2018
7484,49,2018-07-15,763,766,0,4,2018
7485,49,2018-07-15,761,760,1,0,2018
7486,49,2018-07-16,765,762,3,1,2018
7487,49,2018-07-21,767,766,0,0,2018
7490,49,2018-07-22,763,765,1,2,2018
7492,49,2018-08-06,764,763,2,2,2018
7493,49,2018-08-06,760,759,2,0,2018
7494,49,2018-08-06,762,767,1,2,2018
7496,49,2018-08-09,767,759,1,0,2018
7497,49,2018-08-11,761,766,1,1,2018
7500,49,2018-08-12,764,765,0,2,2018
7519,49,2018-05-31,765,766,1,4,2018
7520,49,2018-06-03,759,761,0,2,2018
7521,49,2018-06-03,763,767,1,2,2018
7522,49,2018-06-04,762,766,1,1,2018
7523,49,2018-06-04,760,764,0,0,2018
7524,49,2018-07-12,762,764,3,1,2018
7525,43,2018-06-14,796,799,5,0,2018
7529,43,2018-06-16,785,775,2,0,2018
7530,43,2018-06-16,771,792,2,1,2018
7531,43,2018-06-16,779,793,1,1,2018
7532,43,2018-06-16,784,776,0,1,2018
7533,43,2018-06-17,781,773,1,1,2018
7534,43,2018-06-17,770,794,0,1,2018
7535,43,2018-06-17,795,786,0,1,2018
7536,43,2018-06-18,782,798,3,0,2018
7537,43,2018-06-18,777,768,1,2,2018
7538,43,2018-06-18,790,791,1,0,2018
7539,43,2018-06-19,789,787,1,2,2018
7540,43,2018-06-19,796,774,3,1,2018
7541,43,2018-06-19,769,778,1,2,2018
7542,43,2018-06-20,780,788,1,0,2018
7543,43,2018-06-20,797,772,0,1,2018
7544,43,2018-06-20,783,799,1,0,2018
7545,43,2018-06-21,779,785,0,3,2018
7546,43,2018-06-21,771,784,1,0,2018
7547,43,2018-06-21,776,792,1,1,2018
7548,43,2018-06-22,781,795,2,0,2018
7549,43,2018-06-22,775,793,2,0,2018
7550,43,2018-06-22,786,773,1,2,2018
7551,43,2018-06-23,770,790,2,1,2018
7552,43,2018-06-23,782,777,5,2,2018
7553,43,2018-06-23,791,794,1,2,2018
7554,43,2018-06-24,768,798,6,1,2018
7555,43,2018-06-24,789,769,0,3,2018
7556,43,2018-06-24,778,787,2,2,2018
7557,43,2018-06-25,797,780,1,1,2018
7558,43,2018-06-25,783,796,3,0,2018
7559,43,2018-06-25,799,774,2,1,2018
7560,43,2018-06-25,772,788,2,2,2018
7561,43,2018-06-26,793,785,1,2,2018
7562,43,2018-06-26,792,784,0,2,2018
7563,43,2018-06-26,776,771,0,0,2018
7564,43,2018-06-26,775,779,1,2,2018
7565,43,2018-06-27,786,781,0,2,2018
7566,43,2018-06-27,794,790,0,3,2018
7567,43,2018-06-27,791,770,2,0,2018
7568,43,2018-06-27,773,795,2,2,2018
7569,43,2018-06-28,798,777,1,2,2018
7570,43,2018-06-28,768,782,0,1,2018
7571,43,2018-06-28,787,769,0,1,2018
7572,43,2018-06-28,778,789,0,1,2018
7576,43,2018-06-15,780,772,3,3,2018
7577,43,2018-06-15,788,797,0,1,2018
7578,43,2018-06-15,774,783,0,1,2018
7579,43,2018-06-30,783,780,2,1,2018
7580,43,2018-06-30,771,779,4,3,2018
7581,43,2018-07-01,785,776,1,1,2018
7582,43,2018-07-01,772,796,1,1,2018
7583,43,2018-07-02,781,794,2,0,2018
7584,43,2018-07-02,782,778,3,2,2018
7585,43,2018-07-03,769,768,1,1,2018
7586,43,2018-07-03,790,773,1,0,2018
8649,43,2018-07-06,783,771,0,2,2018
8650,43,2018-07-06,781,782,1,2,2018
8651,43,2018-07-07,790,768,0,2,2018
8652,43,2018-07-07,796,785,2,2,2018
8655,43,2018-07-10,771,782,1,0,2018
8656,43,2018-07-11,785,768,2,1,2018
8657,43,2018-07-14,782,768,2,0,2018
8658,43,2018-07-15,771,785,4,2,2018
9575,11,2017-08-20,217,218,2,0,2017/2018
9581,11,2017-08-26,206,217,0,2,2017/2018
9592,11,2017-09-09,217,214,5,0,2017/2018
9602,11,2017-09-16,216,217,1,2,2017/2018
9609,11,2017-09-19,217,322,6,1,2017/2018
9620,11,2017-09-23,211,217,0,3,2017/2018
9636,11,2017-10-01,217,208,3,0,2017/2018
9642,11,2017-10-14,212,217,1,1,2017/2018
9650,11,2017-10-21,217,223,2,0,2017/2018
9661,11,2017-10-28,215,217,0,2,2017/2018
9673,11,2017-11-04,217,213,2,1,2017/2018
9682,11,2017-11-18,205,217,0,3,2017/2018
9695,11,2017-11-26,207,217,1,1,2017/2018
9700,11,2017-12-02,217,209,2,2,2017/2018
9717,11,2017-12-10,222,217,0,2,2017/2018
9726,11,2017-12-17,217,219,4,0,2017/2018
